3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;02016440000162;3;RGE SUL;Distribuidor;ATIVO;Distribuição;SUL;Não
4;AMBAR UTE URUGUAIANA;AMBAR URUGUAIANA ENERGIA S.A.;01600202000137;4;AMBAR UTE URUGUAIANA;Gerador;ATIVO;Geração;SUL;Não
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;02302100000106;5;BANDEIRANTE;Distribuidor;ATIVO;Distribuição;SUDESTE;Não
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;19527639000158;8;ENERGISA MG;Distribuidor;ATIVO;Distribuição;SUDESTE;Não
9;FOX;FOX ENERGY COMERCIALIZADORA DE ENERGIA LTDA.;03295499000108;9;FOX;Comercializador;ATIVO;Comercialização;SUDESTE;Não
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;12272084000100;10;CEAL;Distribuidor;ATIVO;Distribuição;NORDESTE;Não
12;CEEE TRANSMISSAO;COMPANHIA ESTADUAL DE TRANSMISSAO DE ENERGIA ELETRICA - CEEE-T;92715812000131;12;CEEE-GT;Gerador;ENCERRADO;Geração;NULL;Não
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;08826596000195;13;ENERGISA BO;Distribuidor;ATIVO;Distribuição;NORDESTE;Não
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;01543032000104;15;CELG;Distribuidor;ATIVO;Distribuição;SUDESTE;Não
16;CELPA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04895728000180;16;CELPA;Distribuidor;ATIVO;Distribuição;NORTE;Não
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;10835932000108;17;CELPE;Distribuidor;ATIVO;Distribuição;NORDESTE;Não
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;25086034000171;18;ENERGISA TO;Distribuidor;ATIVO;Distribuição;NORTE;Não
